Date,Open,High,Low,Close,Volume,rsi,adx_pos,adx_neg,macd,gdp_indicator
9/28/2007,1531.23999,1533.73999,1521.98999,1526.75,2925350000,60.57352294,30.31648559,20.54775685,3.917096319,#N/A
10/1/2007,1527.290039,1549.02002,1527.25,1547.040039,3281990000,65.42032788,33.60583664,18.78285546,4.388033199,#N/A
10/2/2007,1546.959961,1548.01001,1540.369995,1546.630005,3101910000,65.24576906,32.57221499,18.2051473,4.307949253,#N/A
10/3/2007,1545.800049,1545.839966,1536.339966,1539.589966,3065320000,62.17811548,31.18115273,19.10025339,3.45376415,#N/A
10/4/2007,1539.910034,1544.02002,1537.630005,1542.839966,2690430000,63.04199943,30.31532591,18.56988456,2.80797966,#N/A
10/5/2007,1543.839966,1561.910034,1543.839966,1557.589966,2919030000,66.75351524,35.51768395,17.04843209,3.054172907,#N/A
10/8/2007,1556.51001,1556.51001,1549,1552.579956,2040650000,64.38824551,34.16002336,16.39675716,2.578535924,#N/A
10/9/2007,1553.180054,1565.26001,1551.819946,1565.150024,2932040000,67.49979285,36.03245977,15.40457618,2.791445925,#N/A
10/10/2007,1564.97998,1565.420044,1555.459961,1562.469971,3044760000,66.17224719,34.44654579,14.69492236,2.445173308,#N/A
10/11/2007,1564.719971,1576.089966,1546.719971,1554.410034,3911260000,62.20967003,34.68683098,12.81952113,1.417663445,#N/A
10/12/2007,1555.410034,1563.030029,1554.089966,1561.800049,2788690000,64.31942516,33.29395115,12.30474212,0.999779687,#N/A
10/15/2007,1562.25,1564.73999,1540.810059,1548.709961,3139290000,58.12892671,29.83987745,16.78550239,-0.32336708,#N/A
10/16/2007,1547.810059,1547.810059,1536.290039,1538.530029,3234560000,53.79286806,28.20439767,17.86017698,-1.958097232,#N/A
10/17/2007,1544.439941,1550.660034,1526.01001,1541.23999,3638070000,54.76031089,25.24680876,20.36049713,-2.875360827,#N/A
10/18/2007,1539.290039,1542.790039,1531.76001,1540.079956,3203210000,54.23682737,24.03240738,19.38113312,-3.535266327,#N/A
10/19/2007,1540,1540,1500.26001,1500.630005,4160970000,40.17232333,20.24617375,28.79061976,-6.434786887,#N/A
10/22/2007,1497.790039,1508.060059,1490.400024,1506.329956,3471830000,42.49272044,18.82933427,30.68300579,-7.690029648,#N/A
10/23/2007,1509.300049,1520.01001,1503.609985,1519.589966,3309120000,47.58565114,22.36377793,28.6760636,-7.34887663,#N/A
10/24/2007,1516.609985,1517.22998,1489.560059,1515.880005,4003300000,46.34886607,19.80878877,30.74511627,-7.091251777,#N/A
10/25/2007,1516.150024,1523.23999,1500.459961,1514.400024,4183960000,45.83705899,20.36997557,28.12057692,-6.741011341,#N/A
10/26/2007,1522.170044,1535.530029,1520.180054,1535.280029,3612120000,53.61867236,23.3395248,25.91108438,-4.908755277,#N/A
10/29/2007,1536.920044,1544.670044,1536.430054,1540.97998,3124480000,55.49828925,26.0212172,24.97206589,-3.201217937,#N/A
10/30/2007,1539.420044,1539.420044,1529.550049,1531.02002,3212520000,51.56587098,24.84110964,26.56939114,-2.65344659,#N/A
10/31/2007,1532.150024,1552.76001,1529.400024,1549.380005,3953070000,57.53861188,27.76942476,24.15799538,-1.047948625,1
11/1/2007,1545.790039,1545.790039,1506.660034,1508.439941,4241470000,44.39260918,23.55849911,28.56649602,-2.645653056,#N/A
11/2/2007,1511.069946,1513.150024,1492.530029,1509.650024,4285990000,44.79409591,21.83722354,31.48607402,-3.471354531,#N/A
11/5/2007,1505.609985,1510.839966,1489.949951,1502.170044,3819330000,42.73989862,20.22499681,30.07332826,-4.316562503,#N/A
11/6/2007,1505.329956,1520.77002,1499.069946,1520.27002,3879160000,48.85227271,22.17311345,27.77901517,-3.487398217,#N/A
11/7/2007,1515.459961,1515.459961,1475.040039,1475.619995,4353160000,38.05918527,18.93121404,31.48529406,-5.648845917,#N/A
11/8/2007,1475.27002,1482.5,1450.310059,1474.77002,5439720000,37.88758134,17.02355172,36.05410787,-6.763352958,#N/A
11/9/2007,1467.589966,1474.089966,1448.51001,1453.699951,4587050000,33.8170789,15.63905209,33.67936556,-8.438217611,#N/A
11/12/2007,1453.660034,1464.939941,1438.530029,1439.180054,4192520000,31.31987798,14.37301266,34.01203699,-9.939255376,#N/A
11/13/2007,1441.349976,1481.369995,1441.349976,1481.050049,4141310000,44.131604,17.37661233,29.85418794,-7.631330154,#N/A
11/14/2007,1483.400024,1492.140015,1466.469971,1470.579956,4031470000,42.02068294,19.19940778,27.64017934,-6.379834767,#N/A
11/15/2007,1468.040039,1472.670044,1443.48999,1451.150024,3941010000,38.3542696,17.60144546,31.89423432,-6.413349641,#N/A
11/16/2007,1453.089966,1462.180054,1443.98999,1458.73999,4168870000,40.53689464,16.67002096,30.20647115,-5.511563092,#N/A
11/19/2007,1456.699951,1456.699951,1430.420044,1433.27002,4119650000,35.93847046,15.31151835,31.64973344,-6.16806682,#N/A
11/20/2007,1434.51001,1452.640015,1419.280029,1439.699951,4875150000,37.85505061,13.87690443,31.81310116,-5.717026179,#N/A
11/21/2007,1434.709961,1436.400024,1415.640015,1416.77002,4076230000,33.95383782,12.93554633,30.68130946,-6.456090105,#N/A
11/23/2007,1417.619995,1440.859985,1417.619995,1440.699951,1612720000,40.80952532,13.31575842,28.59006951,-4.897143829,#N/A
11/26/2007,1440.73999,1446.089966,1406.099976,1407.219971,3706470000,35.29020028,11.86945162,28.61365966,-5.632176707,#N/A
11/27/2007,1409.589966,1429.48999,1407.430054,1428.22998,4320720000,40.70940981,11.14355893,26.86375184,-4.276238891,#N/A
11/28/2007,1432.949951,1471.619995,1432.949951,1469.02002,4508020000,49.5440839,20.91867338,23.80862053,-0.40873998,3
11/29/2007,1467.410034,1473.810059,1458.359985,1469.719971,3524730000,49.68263849,20.63687381,22.81370883,2.272691933,#N/A
11/30/2007,1471.829956,1488.939941,1470.890015,1481.140015,4422200000,51.99868197,23.71613927,21.6042361,4.749106292,#N/A
12/3/2007,1479.630005,1481.160034,1470.079956,1472.420044,3323250000,50.10233102,22.9604296,21.14878351,5.671089028,#N/A
12/4/2007,1471.339966,1471.339966,1460.660034,1462.790039,3343620000,48.01956371,22.15355873,23.2204815,5.499450464,#N/A
12/5/2007,1465.219971,1486.089966,1465.219971,1485.01001,3663660000,52.88623781,25.0239341,21.60081459,6.671405508,#N/A
12/6/2007,1484.589966,1508.02002,1482.189941,1507.339966,3568570000,57.22088005,29.6268614,19.94030238,8.615876702,#N/A
12/7/2007,1508.599976,1510.630005,1502.660034,1504.660034,3177710000,56.54845062,29.70459529,19.4436356,9.326903728,#N/A
12/10/2007,1505.109985,1518.27002,1504.959961,1515.959961,2911760000,58.74963573,30.86224662,18.59201634,10.09846264,#N/A
12/11/2007,1516.680054,1523.569946,1475.98999,1477.650024,4080180000,49.57953269,26.49348667,24.57914658,7.678513349,#N/A
12/12/2007,1487.579956,1511.959961,1468.22998,1486.589966,4482120000,51.48268573,23.23764887,23.73931963,6.382922233,#N/A
12/13/2007,1483.27002,1489.400024,1469.209961,1488.410034,3635170000,51.88090476,21.89951018,22.37229225,5.391052429,#N/A
12/14/2007,1486.189941,1486.670044,1467.780029,1467.949951,3401050000,47.19173872,20.59452083,21.45216645,3.207390204,#N/A
12/17/2007,1465.050049,1465.050049,1445.430054,1445.900024,3569030000,42.71134891,19.24626941,26.54502187,0.282436356,#N/A
12/18/2007,1445.920044,1460.160034,1435.650024,1454.97998,3723690000,45.02591257,17.87469436,27.49691289,-0.96782114,#N/A
12/19/2007,1454.699951,1464.420044,1445.310059,1453,3401300000,44.60273381,18.12409569,25.94445738,-1.806484294,#N/A
12/20/2007,1456.420044,1461.530029,1447.219971,1460.119995,3526890000,46.54821492,17.33483464,24.81463827,-1.758347453,#N/A
12/21/2007,1463.189941,1485.400024,1463.189941,1484.459961,4508590000,52.66777941,23.23278913,22.91607368,-0.053959038,#N/A
12/24/2007,1484.550049,1497.630005,1484.550049,1496.449951,1267420000,55.37791906,26.09862143,21.97288445,1.811165313,#N/A
12/26/2007,1495.119995,1498.849976,1488.199951,1497.660034,2010500000,55.65389505,25.59191284,21.21255862,2.987186427,4
12/27/2007,1495.050049,1495.050049,1475.859985,1476.27002,2365770000,49.79171496,23.7781431,23.72093464,2.220548175,#N/A
12/28/2007,1479.829956,1488.01001,1471.699951,1478.48999,2420510000,50.37593543,22.49367713,23.81735856,1.778150142,#N/A
12/31/2007,1475.25,1475.829956,1465.130005,1468.359985,2440880000,47.65121199,21.4705649,24.97079567,0.769971478,#N/A
1/2/2008,1467.969971,1471.77002,1442.069946,1447.160034,3452650000,42.47361313,19.36216511,30.14319253,-1.248190164,#N/A
1/3/2008,1447.550049,1456.800049,1443.72998,1447.160034,3429500000,42.47361313,18.50114533,28.8027492,-2.437817967,#N/A
1/4/2008,1444.01001,1444.01001,1411.189941,1411.630005,4166000000,35.06751429,16.34669033,35.98320821,-5.307661741,#N/A
1/7/2008,1414.069946,1423.869995,1403.449951,1416.180054,4221260000,36.59232969,15.26026312,36.11085955,-6.510276195,#N/A
1/8/2008,1415.709961,1430.280029,1388.300049,1390.189941,4705390000,31.97359058,13.30283727,36.10797839,-8.539024074,#N/A
1/9/2008,1390.25,1409.189941,1378.699951,1409.130005,5351030000,38.10482761,12.08988122,35.68655102,-8.092425047,#N/A
1/10/2008,1406.780029,1429.089966,1395.310059,1420.329956,5170490000,41.46459029,16.68374166,32.18514765,-6.593249604,#N/A
1/11/2008,1419.910034,1419.910034,1394.829956,1401.02002,4495840000,37.66815839,15.45129307,29.94667251,-6.444971316,#N/A
1/14/2008,1402.910034,1417.890015,1402.910034,1416.25,3682090000,42.16581254,14.678748,28.44937684,-4.932235982,#N/A
1/15/2008,1411.880005,1411.880005,1380.599976,1380.949951,4601640000,35.73042226,13.17914658,31.93628735,-5.857052351,#N/A
1/16/2008,1377.410034,1391.98999,1364.27002,1373.199951,5440620000,34.48599848,12.14055898,34.0619954,-6.48966934,#N/A
1/17/2008,1374.790039,1377.719971,1330.670044,1333.25,5303130000,28.89863725,10.61193308,38.76494194,-8.946112981,#N/A
1/18/2008,1333.900024,1350.280029,1312.51001,1325.189941,6004840000,27.91593325,9.570199934,39.67942006,-10.36139655,#N/A
1/22/2008,1312.939941,1322.089966,1274.290039,1310.5,6544690000,26.16929136,8.376779458,44.09499293,-11.44939758,#N/A
1/23/2008,1310.410034,1339.089966,1270.050049,1338.599976,3241680000,34.5988987,10.8801789,37.30052553,-9.518381396,#N/A
